CurrentURL	MID	editor_data	photographer_data	illustrator_data	altTitles	notes	lang	text	Title	composer_data	lyricist_data	arranger_data	Publisher	PublisherLocationTest	testDates	Donor	Distributor	subject_data	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete
http://sheetmusic.library.sc.edu/Music.asp?mid=433	433					For voice and piano with chord symbols and tablature for ukulele.|Cover portrait of Bing Crosby.|Second copy in folder.	English	"First line of text|Just one look in your eyes and I melt with desire. :: First line of verse|Domino, Domino. You're an angel that heaven has sent me."	Domino	"Ferrari, Louis, 1910-1988|http://id.loc.gov/authorities/names/nr2002045463"	"Raye, Don|http://id.loc.gov/authorities/names/n89614294"		Pickwick	"New York, NY"	1951			Popular music--1951-1960|http://id.loc.gov/authorities/subjects/sh87003306 ; Songs (Low voice) with piano|http://id.loc.gov/authorities/subjects/sh85125168	Sheet music 18					"love, devil, fickle, desire"			0	77	N
http://sheetmusic.library.sc.edu/Music.asp?mid=441	441					"For voice and piano with chord symbols and tablature for ukulele.|Includes excerpts from ""big song hits"" on p. 2."	English	"First line of text|When you held your hand to my heart. :: First line of refrain|Lover, when I'm near you."	Lover	"Rodgers, Richard, 1902-1979|http://id.loc.gov/authorities/names/n50048058"	"Hart, Lorenz, 1895-1943|http://id.loc.gov/authorities/names/n81097890"		Famous Music	"New York, NY"	1933			Songs (Medium voice) with piano|http://id.loc.gov/authorities/subjects/sh85125188 ; Popular music--1931-1940|http://id.loc.gov/authorities/subjects/sh87003303	Sheet music 27				Love me tonight	love			0	98	N
http://sheetmusic.library.sc.edu/Music.asp?mid=333	333					"""High Ab""-Cover.|For voice and song.|Plate number: B. 361-4"	English	First line of text|I want to have a little house with sunlight on the floor.	The little house	"Jacobs-Bond, Carrie, 1862-1946|http://id.loc.gov/authorities/names/n85049048"	"Turner, Nancy Byrd, 1880-1971|http://id.loc.gov/authorities/names/n89626062"		Boston Music Co.	"Boston, MA"	1926			Songs (High voice) with piano|http://id.loc.gov/authorities/subjects/sh85125149	Sheet music 364					"chimney, windows, golden fence, holly-hocks, kettle"	333_1.jpg		5	67	N
http://sheetmusic.library.sc.edu/Music.asp?mid=349	349			"Frew, 1875-1955|http://id.loc.gov/authorities/names/n2012044059"		"Cover title.|For voice and piano.|""As sung by Bert Williams of Williams & Walker, in In Abyssinia""--Cover."	English	"First line of text|Now all my life, I've always had an awful lot of grief. :: First line of chorus|I thought my troubles were over."	"I thought my troubles were over, but they'd scarce begun"	"Jones, Stephen, 1880-1967|http://id.loc.gov/authorities/names/no2009187146"	"Gray, Roger|http://id.loc.gov/authorities/names/n78014059"		F. B. Haviland	"New York, NY"	1906	Fred and Betsy Miller		African Americans--Songs and music|http://id.loc.gov/authorities/subjects/sh2011002554	CSAM 3			CSAM	In Abyssinia		349_1.jpg		4	716	N
http://sheetmusic.library.sc.edu/Music.asp?mid=350	350			Starmer|http://id.loc.gov/authorities/names/no98132927		"Caption title.|For voice and piano.|""[As featured by] Tom Brown""--Cover."	English	First line of text|It don't make no diff'rence what the world it may say. :: First line of chorus|It's the coon with the Panama.	The coon with the Panama	"Vaughn, Jim|http://id.loc.gov/authorities/names/no2006060339 ; Lemonier, Tom, 1870-1945|http://id.loc.gov/authorities/names/no98131073"	"Rogers, Alex, 1876-1930|http://id.loc.gov/authorities/names/n2007002782"		"Shapiro, Bernstein & Co."	"San Francisco, CA"	1902	Fred and Betsy Miller		Popular music--United States|http://id.loc.gov/authorities/subjects/sh85088876	CSAM 4						350_1.jpg		5	648	N
																													
http://sheetmusic.library.sc.edu/Music.asp?mid=351	351					"Cover title.|For voice and piano.|At head of cover title: Successfully sung by John Queen.|""Sung by the author""--Cover."	English	First line of text|A black man in a minstrel show was sitting on the end.	Just because she made dem goo-goo eyes	"Cannon, Hughie L., 1877-1912|http://id.loc.gov/authorities/names/n00115500"	"Queen, John|http://id.loc.gov/authorities/names/no95004207"		"Howley, Haviland & Co."	"New York, NY"	1900	Fred and Betsy Miller		African Americans--Songs and music|http://id.loc.gov/authorities/subjects/sh2011002554 ; Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211	CSAM 26			CSAM	Blitzen to Ninn		351_1.jpg		4	759	N
http://sheetmusic.library.sc.edu/Music.asp?mid=352	352					"Caption title.|For voice and piano.|Title on cover: Rock-a-bye my baby blues.|""Successfully introduced by Billy Elliott""--Cover."	English	First line of text|Shadows softly falling 'round the cabin door. :: First line of chorus|I've got those rock-a-bye my baby blues.	Rock a bye my baby blues	"Hill, Billy, 1899-1940|http://id.loc.gov/authorities/names/no89004667"	"Yoell, Larry, 1898-1976|http://id.loc.gov/authorities/names/no2009021105"		"Sherman, Clay"	"San Francisco, CA"	1923	Fred and Betsy Miller		Popular music--1921-1930|http://id.loc.gov/authorities/subjects/sh87003302	CSAM 31			CSAM			352_1.jpg		4	942	N
http://sheetmusic.library.sc.edu/Music.asp?mid=355	355					"Cover title.|For voice and piano.|""Sung with great success by James F. MacDonald""--Cover.|Pl. no.: M.W.& Sons 12446-3| Publisher no.: 5743."	English	"First line of text|Way down, way down in Tallahassa. :: First line of chorus|Gee, you doan know how ah lubs you."	My Tallahassa Flo : novelty coon song	"Kaufman, Philip, 1936-|"	"Lowenstein, Manuel|http://id.loc.gov/authorities/names/n2014071564"		M. Witmark & Sons	"New York, NY"	1912	Fred and Betsy Miller		Popular music--1911-1920|http://id.loc.gov/authorities/subjects/sh87003300 ; Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; African Americans--Songs and music|http://id.loc.gov/authorities/subjects/sh2011002554	CSAM 22			CSAM			355_1.jpg		4	509	N
http://sheetmusic.library.sc.edu/Music.asp?mid=406	406					For voice and piano.|Pl. no.: 114	English	First line of text|Many builders there have been.	The love nest	"Hirsch, Louis A. (Louis Achille), 1881-1924|http://id.loc.gov/authorities/names/n97082775"	"Harbach, Otto, 1873-1963|http://id.loc.gov/authorities/names/no89000988"		Victoria Publishing	"New York, NY"	1920	"Mr. and Mrs. William Bagwell, Jr."		Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Musicals--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh2008108139 ; Popular music--1911-1920|http://id.loc.gov/authorities/subjects/sh87003300	Sheet music 88				Mary	"building, home"	406_1.jpg		6	176	N
