MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
433	Domino		"Ferrari, Louis"	http://id.loc.gov/authorities/names/nr2002045463	"Raye, Don"	http://id.loc.gov/authorities/names/n89614294						Pickwick	"New York, NY"	1951	English	"First line of text|Just one look in your eyes and I melt with desire. :: First line of verse|Domino, Domino. You're an angel that heaven has sent me."	For voice and piano with chord symbols and tablature for ukulele.|Cover portrait of Bing Crosby.|Second copy in folder.				Popular music--1951-1960|Songs (Low voice) with piano	Sheet music 18					"love, devil, fickle, desire"	"For voice and piano with chord symbols and tablature for ukulele.<br>Cover portrait of Bing Crosby.<br>First line of text: ""Just one look in your eyes and I melt with desire.""<br>First line of verse: ""Domino, Domino.  You're an angel that heaven has sent me.""<BR>Second copy in folder.<BR>"			0	77	N	
441	Lover		"Rodgers, Richard, 1902-1979"	http://id.loc.gov/authorities/names/n50048058	"Hart, Lorenz, 1895-1943"	http://id.loc.gov/authorities/names/n81097890						Famous Music	"New York, NY"	1933	English	"First line of text|When you held your hand to my heart. :: First line of refrain|Lover, when I'm near you."	"For voice and piano with chord symbols and tablature for ukulele.|Includes excerpts from ""big song hits"" on p. 2."				Songs (Medium voice) with piano|Popular music--1931-1940	Sheet music 27				Love me tonight	love	"For voice and piano with chord symbols and tablature for ukulele.<br>Includes excerpts from ""big song hits"" on p. 2.<br>First line of text: ""When you held your hand to my heart.""<br>First line of refrain: ""Lover, when I'm near you.""<br>"			0	98	N	
333	The little house		"Jacobs-Bond, Carrie, 1862-1946"	http://id.loc.gov/authorities/names/n85049048	"Turner, Nancy Byrd"	http://id.loc.gov/authorities/names/n89626062						Boston Music Co.	"Boston, MA"	1926	English	First line of text|I want to have a little house with sunlight on the floor.	"""High Ab""-Cover.|For voice and song.|Plate number: B. 361-4"				Songs (High voice) with piano	Sheet music 364					"chimney, windows, golden fence, holly-hocks, kettle"	"Plate number: B. 361-4<BR>""High Ab""-Cover.<BR>For voice and song.<BR>First line of text: ""I want to have a little house with sunlight on the floor."""	333_1.jpg		5	67	N	
349	"I thought my troubles were over, but they'd scarce begun"		"Jones, Stephen O."	http://id.loc.gov/authorities/names/no2009187146	"Gray, Roger"	http://id.loc.gov/authorities/names/n78014059					"Frew, John"	F.B. Haviland	"New York, NY"	1906	English	"First line of text|Now all my life, I've always had an awful lot of grief. :: First line of chorus|I thought my troubles were over."	"Cover title.|For voice and piano.|""As sung by Bert Williams of Williams & Walker, in In Abyssinia""--Cover."	Fred and Betsy Miller			African Americans--Songs and music	CSAM 3			CSAM	In Abyssinia		"For voice and piano.<br>Cover title.<br>""As sung by Bert Williams of Williams & Walker, in In Abyssinia""--Cover.<br>First line of text: Now all my life, I've always had an awful lot of grief.<br>First line of chorus: I thought my troubles were over."	349_1.jpg		4	716	N	
350	The coon with the Panama		"Vaughn, Jim"	http://id.loc.gov/authorities/names/no2006060339	"Rogers, Alex"	http://id.loc.gov/authorities/names/n2007002782					Starmer	"Shapiro, Berstein"	"San Francisco, CA"	1902	English	First line of text|It don't make no diff'rence what the world it may say. :: First line of chorus|It's the coon with the Panama.	"Caption title.|For voice and piano.|""[As featured by] Tom Brown""--Cover."	Fred and Betsy Miller			Popular music--United States	CSAM 4						"For voice and piano.<br>Caption title.<br>""[As featured by] Tom Brown""--Cover.<br>First line of text: It don't make no diff'rence what the world it may say.<br>First line of chorus: It's the coon with the Panama."	350_1.jpg		5	648	N	
			"Lemonier, Tom, 1870-1945"	http://id.loc.gov/authorities/names/no98131073																														
351	Just because she made dem goo-goo eyes		"Cannon, Hughey, 1877-1912"	http://id.loc.gov/authorities/names/n00115500	"Queen, John"	http://id.loc.gov/authorities/names/no95004207						"Howley, Haviland"	"New York, NY"	1900	English	First line of text|A black man in a minstrel show was sitting on the end.	"Cover title.|For voice and piano.|At head of cover title: Successfully sung by John Queen.|""Sung by the author""--Cover."	Fred and Betsy Miller			African Americans--Songs and music|Songs with piano	CSAM 26			CSAM	Blitzen to Ninn		"For voice and piano.<br>Cover title.<br>At head of cover title: Successfully sung by John Queen.<br>""Sung by the author""--Cover.<br>First line of text: A black man in a minstrel show was sitting on the end."	351_1.jpg		4	759	N	
352	Rock a bye my baby blues	Title on cover|Rock-a-bye my baby blues.	"Hill, Billy, 1899-1940"	http://id.loc.gov/authorities/names/no89004667	"Yoell, Larry"	http://id.loc.gov/authorities/names/no2009021105						"Sherman, Clay"	"San Francisco, CA"	1923	English	First line of text|Shadows softly falling 'round the cabin door. :: First line of chorus|I've got those rock-a-bye my baby blues.	"Caption title.|For voice and piano.|Title on cover: Rock-a-bye my baby blues.|""Successfully introduced by Billy Elliott""--Cover."	Fred and Betsy Miller			Popular music--1921-1930|Waltz ballad	CSAM 31			CSAM			"For voice and piano.<br>Caption title.<br>Title on cover: Rock-a-bye my baby blues.<br>""Successfully introduced by Billy Elliott""--Cover.<br>First line of text: Shadows softly falling 'round the cabin door.<br>First line of chorus: I've got those rock-a-bye my baby blues."	352_1.jpg		4	942	N	
355	My Tallahassa Flo : novelty coon song		"Kaufman, Philip, 1936-"		"Lowenstein, Mannie"	http://id.loc.gov/authorities/names/n2014071564						M. Witmark & Sons	"New York, NY"	1912	English	"First line of text|Way down, way down in Tallahassa. :: First line of chorus|Gee, you doan know how ah lubs you."	"Cover title.|For voice and piano.|""Sung with great success by James F. MacDonald""--Cover.|Pl. no.: M.W.& Sons 12446-3| Publisher no.: 5743."	Fred and Betsy Miller			Popular music|Songs with piano|African Americans--Songs and music	CSAM 22			CSAM			"Pl. no.: M.W.& Sons 12446-3<br>Publisher no.: 5743.<br>For voice and piano.<br>Cover title.<br>""Sung with great success by James F. MacDonald""--Cover.<br>First line of text: Way down, way down in Tallahassa.<br>First line of chorus: Gee, you doan know how ah lubs you."	355_1.jpg		4	509	N	It should have been clear that this Phil Kaufman didn't write this work.
406	The love nest		"Hirsch, Louis A. (Louis Achille), 1887-1924"	http://id.loc.gov/authorities/names/n97082775	"Harbach, Otto, 1873-1963"	http://id.loc.gov/authorities/names/no89000988						Victoria Publishing	"New York, NY"	1920	English	First line of text|Many builders there have been.	For voice and piano.|Pl. no.: 114	"Mr. and Mrs. William Bagwell, Jr."			Songs with piano|Musicals--Excerpts--Vocal scores with piano|Popular music--1911-1920	Sheet music 88				Mary	"building, home"	"For voice and piano.<br>First line of text: ""Many builders there have been.""<br>Pl. no.: 114<br>"	406_1.jpg		6	176	N	
