names	uris
(Negro Spiritual)	
[Cast members]	
[Illegible lithographer]	
[Illegible]	
[Old English Christmas Carol]	
[Old French Carol]	
[s.n.]	
[Smith, John Stafford, 1750-1836?]	
[Spiritual]	
[Various]	
A. H. C.	
A. Hoen & Co.	http://id.loc.gov/authorities/names/n50023560
A. L. (Amelia Lehmann)	http://id.loc.gov/authorities/names/no96027081
A. R. K.	
Aaron, Michael	http://id.loc.gov/authorities/names/no2011056489
Aaronson, Irving, 1895-1963	http://id.loc.gov/authorities/names/no95030830
Abbott, Jane Bingham	http://id.loc.gov/authorities/names/n00114930
Abot, Charlie	http://id.loc.gov/authorities/names/n2008046781
Abrahams, Maurice, 1883-1931	http://id.loc.gov/authorities/names/no99039641
Abreu, Zequinha de, 1880-1935	http://id.loc.gov/authorities/names/n82234828
Abt, Franz, 1819-1885	http://id.loc.gov/authorities/names/n87801355
Ackers, Andy, 1919-1978	http://id.loc.gov/authorities/names/no99039642
Adair, Mildred	http://id.loc.gov/authorities/names/no93009026
Adair, Tom	http://id.loc.gov/authorities/names/no2007032777
Adami, Giuseppe, 1878-1946	http://id.loc.gov/authorities/names/n50036827
Adams, A. E. (A. Emmett)	http://id.loc.gov/authorities/names/nr2006029904
Adams, Bryan, 1959-	http://id.loc.gov/authorities/names/n90625017
Adams, Crosby, Mrs., 1858-1951	http://id.loc.gov/authorities/names/no00011534
Adams, Sarah Flower, 1805-1848	http://id.loc.gov/authorities/names/n83021556
Adams, Stanley, 1907-1994	http://id.loc.gov/authorities/names/no99040692
Adams, Stephen, 1844-1913	http://id.loc.gov/authorities/names/no93032370
Adamson, Harold	http://id.loc.gov/authorities/names/n81023047
Adcock, John, 1838-1919	http://id.loc.gov/authorities/names/no2006044991
Addinsell, Richard, 1904-1977	http://id.loc.gov/authorities/names/n82153087
Adler, Julius	http://id.loc.gov/authorities/names/n2008046794
Adler, Richard, 1921-2012	http://id.loc.gov/authorities/names/n84002078
Aeko, W. A.	http://id.loc.gov/authorities/names/n2009040958
Agee, James, 1909-1955	http://id.loc.gov/authorities/names/n79039544
Ager, Milton, 1893-1979	http://id.loc.gov/authorities/names/no93030552
Agnew, C.R.	
Agnolucci, Mario	http://id.loc.gov/authorities/names/no96019934
Aguero, Adelaida	
Ahlert, Fred E., 1892-1953	http://id.loc.gov/authorities/names/no93031859
Aiken, Conrad, 1889-1973	http://id.loc.gov/authorities/names/n80060447
Aivaz, T	http://id.loc.gov/authorities/names/n2007060571
Akst, Harry, 1894-1963	http://id.loc.gov/authorities/names/n87847829
Albert, Alfred G.	http://id.loc.gov/authorities/names/no96022408
Albert, Charles Louis Napoléon d', 1809-1886	http://id.loc.gov/authorities/names/nr95045474
Albert, Morris	http://id.loc.gov/authorities/names/n95116134
Alberte, Chas. S.	
Alberti, H.	http://id.loc.gov/authorities/names/n2011023998
Alberts, Al	http://id.loc.gov/authorities/names/n93068795
Albrecht, Elmer, 1901-1959	http://id.loc.gov/authorities/names/no99040697
Alden, Bob	http://id.loc.gov/authorities/names/n2008046810
Alden, Joseph Reed, 1886-1951	http://id.loc.gov/authorities/names/no98121748
Aldrich, Thomas Bailey, 1836-1907	http://id.loc.gov/authorities/names/n50037325
Alexander, Hartley Burr, 1873-1939	http://id.loc.gov/authorities/names/n79081591
Alexander, Newton	
Alexander, William	http://id.loc.gov/authorities/names/n86078754
Alexandre, André	http://id.loc.gov/authorities/names/n90677841
Alford, Kenneth J.	http://id.loc.gov/authorities/names/n83051531
Alkins, Cy	
Allan, Fleming	http://id.loc.gov/authorities/names/no2006101493
Allemong, J. Edwin (John Edwin), 1869-	http://id.loc.gov/authorities/names/no2002111081
Allen, Barclay	http://id.loc.gov/authorities/names/no98057181
Allen, E. D.	http://id.loc.gov/authorities/names/no2007032493
Allen, Lester	http://id.loc.gov/authorities/names/no2007113130
Allen, Peter	http://id.loc.gov/authorities/names/n92806546
Allen, Robert	http://id.loc.gov/authorities/names/n81111813
Allen, T. Frank	
Allen, Thornton W. (Thornton Whitney), 1890-1944	http://id.loc.gov/authorities/names/no93003154
Allen, Thos. S., 1876-1919	http://id.loc.gov/authorities/names/no99020416
Allingham, William, 1824-1889	http://id.loc.gov/authorities/names/n79144634
Allitsen, Frances, 1848-1912	http://id.loc.gov/authorities/names/no89000113
Almenräder, Carl, 1786-1843	http://id.loc.gov/authorities/names/n83051515
Alstone, Alex	http://id.loc.gov/authorities/names/no2001069380
Alter, Louis, 1902-1980	http://id.loc.gov/authorities/names/no89005081
Altman, Arthur, 1912-1994	http://id.loc.gov/authorities/names/no99047801
American Lithographic Co.	http://id.loc.gov/authorities/names/no2012023090
Amor, Pierre d'	http://id.loc.gov/authorities/names/n2009021626
Amson	
Amsterdam, Morey	http://id.loc.gov/authorities/names/no89009632
Anderson, Alfred	http://id.loc.gov/authorities/names/nr2002017177
Anderson, G.	http://id.loc.gov/authorities/names/n88603436
Anderson, John Murray	http://id.loc.gov/authorities/names/no92028798
Anderson, John	
Anderson, Leroy, 1908-1975	http://id.loc.gov/authorities/names/n83065666
Anderson, Maxwell Lincoln	http://id.loc.gov/authorities/names/nr88001077
Anderson, R. Alex	http://id.loc.gov/authorities/names/n94057986
Anderson, Will R., -1927	http://id.loc.gov/authorities/names/no2006064310
Andino, J. E.	http://id.loc.gov/authorities/names/nr2006026739
Andre, Fabian, 1910-1960	http://id.loc.gov/authorities/names/no99047803
Andrieu, Harry	http://id.loc.gov/authorities/names/no2007092821
Anka, Paul	http://id.loc.gov/authorities/names/n83046567
Anonymous (1614)	
Anonymous	http://id.loc.gov/authorities/names/n87930409
Anouilh, Jean, 1910-1987	http://id.loc.gov/authorities/names/n80069026
Ansdale, A.W.	
Anthony, Bert R.	http://id.loc.gov/authorities/names/no2003002515
Anthony, Mark	http://id.loc.gov/authorities/names/n96046760
Apeda Studio (New York, N.Y.)	http://id.loc.gov/authorities/names/nr99038062
Appell, Dave	http://id.loc.gov/authorities/names/no99012112
Archer, Harry, 1888-1960	http://id.loc.gov/authorities/names/n85183816
Archer, John B. (John Benjamin), 1872-1954	http://id.loc.gov/authorities/names/no92013174
Arden, Victor, 1893-1962	http://id.loc.gov/authorities/names/n87120579
Arditi, Luigi, 1822-1903	http://id.loc.gov/authorities/names/n84107486
Arlen, Harold, 1905-1986	http://id.loc.gov/authorities/names/n82155108
Armstrong, Harry, 1879-1951	http://id.loc.gov/authorities/names/no2003016988
Armstrong, Louis, 1901-1971	http://id.loc.gov/authorities/names/n50001506
Armstrong, Rolf, 1889-1960	http://id.loc.gov/authorities/names/no97074681
Arndt, Felix, 1889-1918	http://id.loc.gov/authorities/names/n82063875
Arne, Thomas Augustine, 1710-1778	http://id.loc.gov/authorities/names/n79139208
Arnheim, Gus	http://id.loc.gov/authorities/names/n92110811
Arno, Peter	http://id.loc.gov/authorities/names/n79090284
Arnold, Buddy	http://id.loc.gov/authorities/names/no2006111480
Arnold, Eddy, 1918-2008	http://id.loc.gov/authorities/names/n2002068534
Arnold, Jay	http://id.loc.gov/authorities/names/n81058251
Arnold, Maurice, 1865-1937	http://id.loc.gov/authorities/names/no00058748
Arodin, Sidney, 1901-1948	http://id.loc.gov/authorities/names/no96064950
Arthur, Charles	http://id.loc.gov/authorities/names/n88034904
Asch, Georg Thomas von, 1729-1807	http://id.loc.gov/authorities/names/n00021227
Ascher, Kenny	http://id.loc.gov/authorities/names/n91117214
Ashbrooke, Philip	http://id.loc.gov/authorities/names/no93036360
Ashby, Florine	
Ashford, Emma Louise, 1850-1930	http://id.loc.gov/authorities/names/no89017806
Ashleigh, Glenn W. (Glenn Wright)	http://id.loc.gov/authorities/names/no2005046299
Astin, Walter	
Astore, L. (Luigi)	http://id.loc.gov/authorities/names/n2007088415
Atherton, Frank P., 1868-1911	http://id.loc.gov/authorities/names/no00008754
Atherton, Percy Lee, 1871-1944	http://id.loc.gov/authorities/names/n84075758
Atkinson, J. Caldwell	http://id.loc.gov/authorities/names/no2009188318
Atkinson, James W.	http://id.loc.gov/authorities/names/no2012116042
Atteridge, Harold Richard, 1886-1938	http://id.loc.gov/authorities/names/no2008021766
Auber, D. F. E. (Daniel François Esprit), 1782-1871	http://id.loc.gov/authorities/names/n80079937
Auer, Leopold, 1845-1930	http://id.loc.gov/authorities/names/n81026496
Auric, Georges, 1899-1983	http://id.loc.gov/authorities/names/n81035840
Austin, Bobby	http://id.loc.gov/authorities/names/n91111171
Austin, Gene, 1900-1972	http://id.loc.gov/authorities/names/n84148364
Austin, Ray, 1915-1998	http://id.loc.gov/authorities/names/no2007113102
Autry, Gene, 1907-1998	http://id.loc.gov/authorities/names/n82077164
Aveling, Claude, 1869-1943	http://id.loc.gov/authorities/names/n86148825
Avery, Dan	http://id.loc.gov/authorities/names/n95098591
Avery, Richard K. (Richard Kinsey), 1934-	http://id.loc.gov/authorities/names/no97065864
Axelrod, James	http://id.loc.gov/authorities/names/no2004103120
Axt, William, 1882-1959	http://id.loc.gov/authorities/names/n98041902
Axton, Mae Boren	http://id.loc.gov/authorities/names/n82012882
Ayer, Nat D., 1887-1952	http://id.loc.gov/authorities/names/n79113554
BÃ¼low, Hans von, 1830-1894	http://id.loc.gov/authorities/names/n50056208
Babb, A. A.	http://id.loc.gov/authorities/names/n99284656
Bach, Carl Philipp Emanuel, 1714-1788	http://id.loc.gov/authorities/names/n79074233
Bach, Johann Sebastian, 1685-1750	http://id.loc.gov/authorities/names/n79021425
Bach, John, 1893-	http://id.loc.gov/authorities/names/no2004065237
Bacharach, Burt	http://id.loc.gov/authorities/names/n80050147
Bachmann, G. (Georges), -1894	http://id.loc.gov/authorities/names/no96009675
Backer, Bill	http://id.loc.gov/authorities/names/n92100891
Bacon, Ernst, 1898-1990	http://id.loc.gov/authorities/names/n82109859
Badarzewska, Thekla, 1834-1861	http://id.loc.gov/authorities/names/n81133637
Baer, Abel, 1893-1976	http://id.loc.gov/authorities/names/no2002102050
Baer, Weldy	http://id.loc.gov/authorities/names/no2011156885
Bagdasarian, Ross, 1919-1972	http://id.loc.gov/authorities/names/n2008080762
Bailey, E. H.	http://id.loc.gov/authorities/names/no2008006261
Bailey, Grace Helen	
Baines, William, 1899-1922	http://id.loc.gov/authorities/names/n85170513
Bainton, Edgar L. (Edgar Leslie), 1880-1956	http://id.loc.gov/authorities/names/no90001048
Baker, Carrie Belle	
Baker, Estelle	http://id.loc.gov/authorities/names/no2005120168
Baker, Jack	http://id.loc.gov/authorities/names/n77003945
Baker, John S.	http://id.loc.gov/authorities/names/n79108064
Baker, Will	http://id.loc.gov/authorities/names/nb2014001544
Baksa, Robert F.	http://id.loc.gov/authorities/names/n80051307
Balabanov, A.	http://id.loc.gov/authorities/names/n93026003
Balakirev, Miliĭ Alekseevich, 1837-1910	http://id.loc.gov/authorities/names/n50041167
Baldwin, Anita May, 1876-1939	http://id.loc.gov/authorities/names/nr2006019189
Balfe, M. W. (Michael William), 1808-1870	http://id.loc.gov/authorities/names/n81003160
Balfour, Carl	
Ball, Ernest R., 1878-1927	http://id.loc.gov/authorities/names/no96051481
Ball, Russell, 1891-1942	
Ballard, B. Beck	
Ballard, Lucinda	http://id.loc.gov/authorities/names/n97871926
Ballard, Pat, 1899-1960	http://id.loc.gov/authorities/names/no97006669
Baltzell, W. J. (Winton James), 1864-1928	http://id.loc.gov/authorities/names/no95000754
Bantock, Granville, Sir, 1868-1946	http://id.loc.gov/authorities/names/n81140125
Banville, ThÃ©odore Faullain de, 1823-1891	http://id.loc.gov/authorities/names/n50036068
Barab, Seymour	http://id.loc.gov/authorities/names/n82044795
Barbelle, 1888-1957	http://id.loc.gov/authorities/names/no2003006949
Barber, Samuel, 1910-1981	http://id.loc.gov/authorities/names/n81015460
Barbier, Jean	http://id.loc.gov/authorities/names/n89200812
Barbier	http://id.loc.gov/authorities/names/n97871956
Barbour, Dave	http://id.loc.gov/authorities/names/n93068115
Barbour, Florence Newell, 1866-1946	http://id.loc.gov/authorities/names/no91023707
Barcelata, Lorenzo, 1898-1943	http://id.loc.gov/authorities/names/n92113951
Bárdos, Lajos	http://id.loc.gov/authorities/names/n80106842
Barer, Marshall	http://id.loc.gov/authorities/names/n94092649
Baring-Gould, Rev. s.	
Barker, Löis	http://id.loc.gov/authorities/names/no2012140265
Barker, Richard H.	
Barlow, Harold	http://id.loc.gov/authorities/names/n50017422
Barnby, Joseph, 1838-1896	http://id.loc.gov/authorities/names/no88000405
Barnes, Howard	http://id.loc.gov/authorities/names/nb2001017002
Barnes, Jessie	http://id.loc.gov/authorities/names/no2008040767
Barnett, Alice, 1888-1975	http://id.loc.gov/authorities/names/no95028078
Barnett, B. F.	http://id.loc.gov/authorities/names/no2006028948
Barnett, Ben.	
Barnett, John, 1802-1890	http://id.loc.gov/authorities/names/n83050675
